pair,ep854_delivered_d_pose,pu2_live_d_pose,map_d_pose,map_pose_delta_vs_pu2_live,map_flips_vs_gt,map_flips_vs_live,sub_final_repaired,sub_final_d_pose_after_repair,sub_map_repair_repaired,sub_map_repair_d_pose_after_repair,ep854_k4_best_d_pose,ep854_k4_ratio_vs_bar,ep854_k4_envelope_status,ep854_best_k6_d_pose,ep854_best_k6_source,ep854_best_k8_d_pose,ep854_best_k8_source
0,87.83867645263672,0.0007871219422668219,0.0017086612060666084,0.0009215392637997866,1018,533,False,0.0007871219422668219,False,0.0017086612060666084,1.3170666694641113,474.6543457091627,beyond_k4_envelope_escalated_to_k_ge_5,0.00016467492969240993,kladder,0.00015991955297067761,kladder
1,81.19811248779297,0.0008754000882618129,0.0019716673996299505,0.0010962673113681376,936,481,False,0.0008754000882618129,False,0.0019716673996299505,3.0802488327026367,1110.0831326198265,beyond_k4_envelope_escalated_to_k_ge_5,0.2791230380535126,kladder,0.0008028903976082802,kladder
2,41.573516845703125,0.0001629120233701542,0.1411750167608261,0.14101210473745596,1065,492,False,0.0001629120233701542,False,0.1411750167608261,0.06192531809210777,22.317109697871768,within_k4_envelope_measured,3.7689660530304536e-05,kladder,2.292185126862023e-05,kladder
3,177.7481689453125,0.0004127834690734744,0.20508162677288055,0.20466884330380708,823,421,False,0.0004127834690734744,False,0.20508162677288055,1.0595927238464355,381.86395777531595,beyond_k4_envelope_escalated_to_k_ge_5,0.00017449130245950073,kladder,0.00030862141284160316,kladder
4,120.62731170654297,0.0006231839652173221,0.0013357718707993627,0.0007125879055820405,1069,535,False,0.0006231839652173221,False,0.0013357718707993627,,,k4_envelope_not_measured_for_pair,,,,
5,50.25370407104492,0.0008270223625004292,0.11751482635736465,0.11668780399486423,1005,476,False,0.0008270223625004292,False,0.11751482635736465,,,k4_envelope_not_measured_for_pair,,,,
6,6.09147834777832,0.0003122210328001529,0.0020246251951903105,0.0017124041623901576,1023,509,False,0.0003122210328001529,False,0.0020246251951903105,,,k4_envelope_not_measured_for_pair,,,,
7,12.643916130065918,0.0003490684612188488,0.0319850854575634,0.03163601699634455,1064,572,False,0.0003490684612188488,False,0.0319850854575634,,,k4_envelope_not_measured_for_pair,,,,
8,185.9187774658203,0.0003892929817084223,0.4040999114513397,0.4037106184696313,879,469,False,0.0003892929817084223,False,0.4040999114513397,,,k4_envelope_not_measured_for_pair,,,,
9,2.492365837097168,0.013387956656515598,0.015241850167512894,0.0018538935109972954,1010,599,True,0.00011589783389354125,False,0.015241850167512894,,,k4_envelope_not_measured_for_pair,,,,
10,13.091317176818848,0.008443103171885014,0.004896727856248617,-0.0035463753156363964,899,449,True,0.00045131109072826803,False,0.004896727856248617,,,k4_envelope_not_measured_for_pair,0.00023976936063263565,ext_a,,
11,40.61864471435547,0.0004034453013446182,0.1483096480369568,0.14790620273561217,878,370,False,0.0004034453013446182,False,0.1483096480369568,,,k4_envelope_not_measured_for_pair,,,,
12,3.9810590744018555,0.0004470882995519787,0.08109719306230545,0.08065010476275347,978,418,False,0.0004470882995519787,False,0.08109719306230545,,,k4_envelope_not_measured_for_pair,,,,
13,111.60174560546875,0.00027786739519797266,0.046154167503118515,0.04587630010792054,966,551,False,0.00027786739519797266,False,0.046154167503118515,,,k4_envelope_not_measured_for_pair,,,,
14,12.39030933380127,0.001207111170515418,0.23006533086299896,0.22885821969248354,950,505,False,0.001207111170515418,False,0.23006533086299896,,,k4_envelope_not_measured_for_pair,,,,
15,3.2552406787872314,0.0004177143273409456,0.06835092604160309,0.06793321171426214,794,454,False,0.0004177143273409456,False,0.06835092604160309,,,k4_envelope_not_measured_for_pair,,,,
16,44.59894943237305,0.018227579072117805,0.009987051598727703,-0.008240527473390102,740,369,True,0.0005425014533102512,False,0.009987051598727703,,,k4_envelope_not_measured_for_pair,0.009420606307685375,ext_b,,
17,9.660222053527832,0.0006691457238048315,0.05926699563860893,0.0585978499148041,916,445,False,0.0006691457238048315,False,0.05926699563860893,,,k4_envelope_not_measured_for_pair,,,,
18,16.90269660949707,0.026544759050011635,0.13723652064800262,0.11069176159799099,1073,470,True,0.0002703039499465376,True,0.00036178939626552165,,,k4_envelope_not_measured_for_pair,,,,
19,183.03541564941406,0.0005599904689006507,0.005222000181674957,0.0046620097127743065,1002,467,False,0.0005599904689006507,False,0.005222000181674957,,,k4_envelope_not_measured_for_pair,,,,
20,21.04900550842285,0.00119827373418957,0.0026710655074566603,0.0014727917732670903,879,369,False,0.00119827373418957,False,0.0026710655074566603,,,k4_envelope_not_measured_for_pair,,,,
21,29.37809944152832,0.0017985544400289655,0.01092587411403656,0.009127319674007595,930,485,False,0.0017985544400289655,False,0.01092587411403656,,,k4_envelope_not_measured_for_pair,,,,
22,23.278968811035156,0.016409924253821373,0.0596865713596344,0.043276647105813026,1062,617,True,0.0004963225219398737,False,0.0596865713596344,,,k4_envelope_not_measured_for_pair,,,,
23,124.93070220947266,0.0008024237467907369,0.10814213007688522,0.10733970633009449,966,534,False,0.0008024237467907369,False,0.10814213007688522,,,k4_envelope_not_measured_for_pair,,,,
24,9.332921028137207,0.00019982701633125544,0.013784033246338367,0.013584206230007112,967,564,False,0.00019982701633125544,False,0.013784033246338367,,,k4_envelope_not_measured_for_pair,,,,
25,17.763565063476562,0.0002742412034422159,0.0009699469082988799,0.0006957057048566639,953,463,False,0.0002742412034422159,False,0.0009699469082988799,,,k4_envelope_not_measured_for_pair,,,,
26,2.042726755142212,0.00022719096159562469,0.017697596922516823,0.017470405960921198,951,425,False,0.00022719096159562469,False,0.017697596922516823,,,k4_envelope_not_measured_for_pair,,,,
27,184.60145568847656,0.0005288817337714136,0.04465194419026375,0.044123062456492335,881,497,False,0.0005288817337714136,False,0.04465194419026375,,,k4_envelope_not_measured_for_pair,,,,
28,3.7785069942474365,0.00037184194661676884,0.002686926396563649,0.0023150844499468803,868,508,False,0.00037184194661676884,False,0.002686926396563649,,,k4_envelope_not_measured_for_pair,,,,
29,3.5972583293914795,0.0003227306006010622,0.008777337148785591,0.008454606548184529,982,609,False,0.0003227306006010622,False,0.008777337148785591,,,k4_envelope_not_measured_for_pair,,,,
30,170.248046875,0.0003097655426245183,0.10060443729162216,0.10029467174899764,933,455,False,0.0003097655426245183,False,0.10060443729162216,,,k4_envelope_not_measured_for_pair,,,,
31,57.98337173461914,0.0005198412109166384,0.017745615914463997,0.01722577470354736,904,467,False,0.0005198412109166384,False,0.017745615914463997,,,k4_envelope_not_measured_for_pair,,,,
32,2.944429636001587,0.0003203082305844873,0.10208707302808762,0.10176676479750313,918,489,False,0.0003203082305844873,False,0.10208707302808762,,,k4_envelope_not_measured_for_pair,,,,
33,7.342355251312256,0.0004975395277142525,0.04241838678717613,0.04192084725946188,796,390,False,0.0004975395277142525,False,0.04241838678717613,,,k4_envelope_not_measured_for_pair,,,,
34,3.6652634143829346,0.0008234199485741556,0.002000371692702174,0.0011769517441280186,928,558,False,0.0008234199485741556,False,0.002000371692702174,,,k4_envelope_not_measured_for_pair,,,,
35,7.032376766204834,0.00034544887603260577,0.0038510719314217567,0.003505623055389151,1214,642,False,0.00034544887603260577,False,0.0038510719314217567,,,k4_envelope_not_measured_for_pair,,,,
36,13.094017028808594,0.0004565257113426924,0.0012140624457970262,0.0007575367344543338,1011,623,False,0.0004565257113426924,False,0.0012140624457970262,,,k4_envelope_not_measured_for_pair,,,,
37,8.536341667175293,0.0008250523242168128,0.00260753370821476,0.001782481383997947,1079,669,False,0.0008250523242168128,False,0.00260753370821476,,,k4_envelope_not_measured_for_pair,,,,
38,6.723045349121094,0.0007793098338879645,0.0010767737403512,0.0002974639064632356,928,543,False,0.0007793098338879645,False,0.0010767737403512,,,k4_envelope_not_measured_for_pair,,,,
39,190.0267791748047,0.0005340539501048625,0.17077696323394775,0.1702429092838429,993,538,False,0.0005340539501048625,False,0.17077696323394775,,,k4_envelope_not_measured_for_pair,,,,
40,5.94363260269165,0.00018218305194750428,0.008349339477717876,0.008167156425770372,963,538,False,0.00018218305194750428,False,0.008349339477717876,,,k4_envelope_not_measured_for_pair,,,,
41,53.540618896484375,0.0003831805952358991,0.047417085617780685,0.047033905022544786,949,425,False,0.0003831805952358991,False,0.047417085617780685,,,k4_envelope_not_measured_for_pair,,,,
42,9.450201988220215,0.01620221696794033,0.033534277230501175,0.017332060262560844,931,444,True,0.0006502807955257595,False,0.033534277230501175,,,k4_envelope_not_measured_for_pair,,,,
43,8.574219703674316,0.00022574681497644633,0.047745589166879654,0.04751984235190321,1054,519,False,0.00022574681497644633,False,0.047745589166879654,,,k4_envelope_not_measured_for_pair,,,,
44,12.107373237609863,0.02080395631492138,0.30105718970298767,0.2802532333880663,942,557,True,0.00011169700155733153,True,0.0002508357574697584,,,k4_envelope_not_measured_for_pair,,,,
45,1.5356642007827759,0.00022444158094003797,0.09968311339616776,0.09945867181522772,949,533,False,0.00022444158094003797,False,0.09968311339616776,,,k4_envelope_not_measured_for_pair,,,,
46,16.995805740356445,7.58303576731123e-05,0.021905796602368355,0.021829966244695242,948,691,False,7.58303576731123e-05,False,0.021905796602368355,,,k4_envelope_not_measured_for_pair,,,,
47,187.2042999267578,0.0010165133280679584,0.01291679497808218,0.011900281650014222,863,459,False,0.0010165133280679584,False,0.01291679497808218,,,k4_envelope_not_measured_for_pair,,,,
48,2.161036491394043,0.0005116916145198047,0.0025067219976335764,0.0019950303831137717,863,452,False,0.0005116916145198047,False,0.0025067219976335764,0.0004797389265149832,0.17289190559262746,within_k4_envelope_measured,,,,
49,4.354973316192627,0.0002919991093222052,0.09439214318990707,0.09410014408058487,969,471,False,0.0002919991093222052,False,0.09439214318990707,,,k4_envelope_not_measured_for_pair,,,,
50,186.1799774169922,0.00014976876263972372,0.06446723639965057,0.06431746763701085,905,468,False,0.00014976876263972372,False,0.06446723639965057,,,k4_envelope_not_measured_for_pair,,,,
51,2.218695878982544,0.00010341752204112709,8.76862250152044e-05,-1.5731297025922686e-05,1027,504,False,0.00010341752204112709,False,8.76862250152044e-05,,,k4_envelope_not_measured_for_pair,,,,
52,11.86104679107666,0.00024219263286795467,0.0008108464535325766,0.0005686538206646219,860,534,False,0.00024219263286795467,False,0.0008108464535325766,,,k4_envelope_not_measured_for_pair,,,,
53,6.0153350830078125,0.0004903543158434331,0.028852352872490883,0.02836199855664745,1074,515,False,0.0004903543158434331,False,0.028852352872490883,,,k4_envelope_not_measured_for_pair,,,,
54,5.065125465393066,0.00012227115803398192,0.03469237685203552,0.03457010569400154,1002,475,False,0.00012227115803398192,False,0.03469237685203552,,,k4_envelope_not_measured_for_pair,,,,
55,37.16938781738281,0.000277938146609813,0.03359536454081535,0.03331742639420554,953,523,False,0.000277938146609813,False,0.03359536454081535,,,k4_envelope_not_measured_for_pair,,,,
56,60.286197662353516,0.0004102443053852767,0.0709085464477539,0.07049830214236863,948,498,False,0.0004102443053852767,False,0.0709085464477539,,,k4_envelope_not_measured_for_pair,,,,
57,184.22637939453125,0.0004332523967605084,0.00478873448446393,0.004355482087703422,974,391,False,0.0004332523967605084,False,0.00478873448446393,,,k4_envelope_not_measured_for_pair,,,,
58,109.86917114257812,0.007963120006024837,0.3209814131259918,0.313018293119967,1052,501,True,0.0005208272486925125,False,0.3209814131259918,,,k4_envelope_not_measured_for_pair,,,,
59,4.193723201751709,0.0009353934437967837,0.004042931366711855,0.0031075379229150712,1165,549,False,0.0009353934437967837,False,0.004042931366711855,,,k4_envelope_not_measured_for_pair,,,,
