row_type,archive,member,payload_format,segment,bytes,uncompressed_bytes,codec,type_guess,sha256,rate_score_contribution,best_probe_codec,best_probe_bytes,best_probe_delta
zip_member,/Users/adpena/Projects/pact/experiments/results/c067_breakthrough_candidate_matrix_20260502T1030Z/line_search_source_c067_fixedslice/archive.zip,p,,,276114,276114,stored,json_like,1f0aaaa9d06967552df6f22d39905a48349239dee4731b093067951a20adc2af,0.183904915981,input_bytes,276114,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/c067_breakthrough_candidate_matrix_20260502T1030Z/line_search_source_c067_fixedslice/archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,masks.mkv,219472,223385,brotli_av1_obu,json_like,d1ae0d39c848e5715b74bb0122269066a4a1ab60ba9e12f34e70fd62ac136d87,0.14613739616,input_bytes,219472,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/c067_breakthrough_candidate_matrix_20260502T1030Z/line_search_source_c067_fixedslice/archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,renderer.bin,55965,59288,brotli_qzs3,binary_payload,2544dfe50d2631a56600cbfc7342e4a18c97f953526fc51425be0d62f97e22ad,0.037264796311,input_bytes,55965,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/c067_breakthrough_candidate_matrix_20260502T1030Z/line_search_source_c067_fixedslice/archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,optimized_poses.bin,677,1140,public_qp1_brotli,binary_payload,c998610e82bb46a686a073e8a1847987de1346f86852a1c60cfa3244a1ad43c5,0.000450786511,input_bytes,677,0
zip_member,/Users/adpena/Projects/pact/reports/raw/leaderboard_intel_20260501/pr67_archive.zip,p,,,276464,276464,stored,json_like,a64523528fad2adee466f948ad29839e8581ccfa70caf934b5e4b4a6d733f76f,0.184137966614,input_bytes,276464,0
payload_segment,/Users/adpena/Projects/pact/reports/raw/leaderboard_intel_20260501/pr67_archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,masks.mkv,219472,223385,brotli_av1_obu,json_like,d1ae0d39c848e5715b74bb0122269066a4a1ab60ba9e12f34e70fd62ac136d87,0.14613739616,input_bytes,219472,0
payload_segment,/Users/adpena/Projects/pact/reports/raw/leaderboard_intel_20260501/pr67_archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,renderer.bin,55965,,brotli_qzs3,binary_payload,8dd8551d7190e3fc29721b0e96a5b4aa43922ae353ae15bd3afe6b9bf7e47ba2,0.037264796311,input_bytes,55965,0
payload_segment,/Users/adpena/Projects/pact/reports/raw/leaderboard_intel_20260501/pr67_archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,optimized_poses.bin,1027,,public_qp1_brotli,binary_payload,63396d131c5247b26b834d794fb27d2ee2770a9cc5446c13706f5fb8b1755693,0.000683837145,input_bytes,1027,0
zip_member,/Users/adpena/Projects/pact/experiments/results/fixedslice_segment_mix_c067_pr67_20260502T1530Z/pr67mask_c067renderer_c067pose/archive.zip,p,,,276114,276114,stored,single_member_payload,cdcebf294372d44e89c7485cd4c7a43f680460b5f1d3b1f76b811ccae2a6981e,0.183904915981,input_bytes,276114,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/fixedslice_segment_mix_c067_pr67_20260502T1530Z/pr67mask_c067renderer_c067pose/archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,masks.mkv,219472,,brotli_av1_obu,mkv_or_av1_mask_stream,ec87ec151c6db55a9e42fb56c19ce606a593fc436fa995169713796b23c24e90,0.14613739616,input_bytes,219472,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/fixedslice_segment_mix_c067_pr67_20260502T1530Z/pr67mask_c067renderer_c067pose/archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,renderer.bin,55965,,brotli_qzs3,json_like,4fd18d59a6dc946e941c8439e0795c30ff6580037aacb3a1d8344d6607dd4d2d,0.037264796311,input_bytes,55965,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/fixedslice_segment_mix_c067_pr67_20260502T1530Z/pr67mask_c067renderer_c067pose/archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,optimized_poses.bin,677,1140,public_qp1_brotli,binary_payload,c998610e82bb46a686a073e8a1847987de1346f86852a1c60cfa3244a1ad43c5,0.000450786511,input_bytes,677,0
zip_member,/Users/adpena/Projects/pact/experiments/results/fixedslice_segment_mix_c067_pr67_20260502T1530Z/c067mask_pr67renderer_c067pose/archive.zip,p,,,276242,276242,stored,single_member_payload,ce1615f1eeb7aaf1c4ead2cc11b199e0d74e224f1815bd614da71002698964bf,0.183990145927,input_bytes,276242,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/fixedslice_segment_mix_c067_pr67_20260502T1530Z/c067mask_pr67renderer_c067pose/archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,masks.mkv,219472,,brotli_av1_obu,mkv_or_av1_mask_stream,418de0cf0d7b1aa9cbe0f6c13b3f8a6a7d82f09cd36c164e56f503a430909953,0.14613739616,input_bytes,219472,0
payload_segment,/Users/adpena/Projects/pact/experiments/results/fixedslice_segment_mix_c067_pr67_20260502T1530Z/c067mask_pr67renderer_c067pose/archive.zip,p,public_pr67_qzs3_qp1_fixed_slices,renderer.bin,55965,,brotli_qzs3,json_like,4fd18d59a6dc946e941c8439e0795c30ff6580037aacb3a1d8344d6607dd4d2d,0.037264796311,input_bytes,55965,0
