row_type,atom_id,name,stream,bytes,byte_delta,sha256,rate_score_cost,rate_score_delta,known_posenet_delta,known_segnet_delta,known_score_delta,benefit_score_estimate,benefit_per_byte_estimate,break_even_bytes_at_rate_only,byte_savings_estimate,codec,candidate_index,candidate_archive_path,candidate_archive_sha256,source_path,source_sha256,source_json_pointer
action_record,10,10,,,,,,,-1.2423770615668174e-06,6.781682410898299e-06,,5.539305349331488e-06,,8,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,101,101,,,,,,,5.677385787128338e-07,5.933979991823435e-06,,6.501718570536282e-06,,9,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,102,102,,,,,,,9.528791278239676e-06,8.477072697132826e-07,,1.0376498547952958e-05,,15,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,104,104,,,,,,,-3.095863819484011e-06,8.477101800963283e-06,,5.381237981479271e-06,,8,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,11,11,,,,,,,4.866888121153148e-06,5.086263020833336e-06,,9.95315114198649e-06,,14,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,15,15,,,,,,,7.395374782548494e-07,9.324818771953375e-06,,1.0064356250208211e-05,,15,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,17,17,,,,,,,-1.5620477243031026e-06,8.477111502240092e-06,,6.915063777936949e-06,,10,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,18,18,,,,,,,-8.690358582656244e-08,5.086263020833329e-06,,4.999359435006766e-06,,7,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,2,2,,,,,,,7.972695067427819e-07,7.62939453125e-06,,8.426664037992782e-06,,12,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,21,21,,,,,,,1.3203149119001261e-05,1.695424240703375e-06,,1.4898573359704663e-05,,22,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,33,33,,,,,,,-2.864993974760943e-07,5.086263020833342e-06,,4.799763623357248e-06,,7,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,44,44,,,,,,,1.0460340110157815e-06,7.62939453125e-06,,8.675428542265782e-06,,13,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,44,44,,,,,,,1.8308161911916263e-06,5.086263020833342e-06,,6.917079212024962e-06,,10,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,51,51,,,,,,,5.6943774203862207e-08,1.4411091494063527e-05,,1.446803526826743e-05,,21,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,6,6,,,,,,,3.2991893952880914e-06,5.933970290546625e-06,,9.233159685834743e-06,,13,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,67,67,,,,,,,2.1181565239241174e-06,1.0172526041666671e-05,,1.2290682565590778e-05,,18,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,7,7,,,,,,,1.842993214772251e-06,3.3908436307683587e-06,,5.233836845540613e-06,,7,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
action_record,71,71,,,,,,,1.7588121322559687e-06,6.781687261536717e-06,,8.5404993937927e-06,,12,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_subset_candidates_20260503/c067_pr75_actions_top25_p3/manifest.json,ad5d9c611c0433ff91de93a6525cd6760db4861413561bdb13de877b169748cf,$.selected_records
