rank,atom_id,classification,dispatchable_atom,pair_index,tile_id,source_action_id,action_id,transform,mean_weighted_combined_equal_share,mean_weighted_pose_equal_share,mean_weighted_seg_equal_share,component_positive_votes,pose_toxic_votes,pose_positive_votes,seg_positive_votes,worst_pose_delta_vs_c091
1,pair314_tile089_src090_act090_identity,component_positive_pose_safe,True,314,89,90,90,identity,9.198748965476012e-06,4.1124859446426836e-06,5.086263020833329e-06,2,0,2,2,0.0
2,pair548_tile087_src071_act071_identity,component_positive_pose_safe,True,548,87,71,71,identity,9.186466268901496e-06,3.2524959783548715e-06,5.933970290546625e-06,2,0,2,2,0.0
3,pair518_tile088_src011_act011_identity,component_positive_pose_safe,True,518,88,11,11,identity,8.794000572966195e-06,1.1646060417161952e-06,7.62939453125e-06,2,0,2,2,0.0
4,pair491_tile089_src065_act065_identity,component_positive_pose_safe,True,491,89,65,65,identity,4.914872251768762e-06,6.763165006487162e-07,4.238555751120046e-06,2,0,2,2,0.0
5,pair163_tile086_src020_act020_identity,component_positive_pose_safe,True,163,86,20,20,identity,4.6389813817910204e-06,4.6389813817910204e-06,0.0,5,0,5,0,0.0
6,pair142_tile086_src038_act038_identity,component_positive_pose_safe,True,142,86,38,38,identity,4.528819651549048e-06,4.528819651549048e-06,0.0,2,0,2,0,0.0
7,pair544_tile088_src041_act041_identity,component_positive_pose_safe,True,544,88,41,41,identity,4.472313518643983e-06,3.6246062489307005e-06,8.477072697132826e-07,1,0,1,1,0.0
8,pair494_tile089_src089_act089_identity,component_positive_pose_safe,True,494,89,89,89,identity,4.123598876736062e-06,7.327600966060945e-07,3.3908387801299673e-06,2,0,2,2,0.0
9,pair163_tile086_src020_act018_amp_shift_-1,component_positive_pose_safe,True,163,86,20,18,amp_shift_-1,3.968010118587988e-06,4.8157173883012704e-06,-8.477072697132826e-07,1,0,1,0,0.0
10,pair347_tile098_src011_act011_identity,component_positive_pose_safe,True,347,98,11,11,identity,3.917695205976431e-06,3.069987936263148e-06,8.477072697132828e-07,6,0,6,6,0.0
11,pair138_tile088_src056_act056_identity,component_positive_pose_safe,True,138,88,56,56,identity,3.769958207150328e-06,3.769958207150328e-06,0.0,2,0,2,0,0.0
12,pair543_tile088_src101_act101_identity,component_positive_pose_safe,True,543,88,101,101,identity,3.7213314209794364e-06,2.025916881552871e-06,1.6954145394265652e-06,2,0,2,2,0.0
13,pair159_tile086_src106_act106_identity,component_positive_pose_safe,True,159,86,106,106,identity,3.284314915416817e-06,3.284314915416817e-06,0.0,5,0,5,0,0.0
14,pair033_tile109_src092_act092_identity,component_positive_pose_safe,True,33,109,92,92,identity,3.0954175717878354e-06,3.0954175717878354e-06,0.0,2,0,2,0,0.0
