rank,atom_id,classification,dispatchable_atom,no_op_status,pair_index,tile_id,source_action_id,action_id,transform,mean_weighted_combined_equal_share,mean_weighted_pose_equal_share,mean_weighted_seg_equal_share,component_positive_votes,pose_toxic_votes,pose_positive_votes,seg_positive_votes,worst_pose_delta_vs_c102
1,pair314_tile089_src090_act090_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,314,89,90,90,identity,9.551379146958045e-06,4.465116126124717e-06,5.086263020833328e-06,2,0,2,2,0.0
2,pair548_tile087_src071_act071_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,548,87,71,71,identity,9.183116564671696e-06,3.2491462741250715e-06,5.933970290546626e-06,2,0,2,2,0.0
3,pair518_tile088_src011_act011_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,518,88,11,11,identity,8.431478109881332e-06,8.020835786313316e-07,7.62939453125e-06,2,0,2,2,0.0
4,pair134_tile089_src071_act071_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,134,89,71,71,identity,8.12697983469593e-06,4.736131353289167e-06,3.390848481406764e-06,2,1,1,2,-2.3527513134811084e-06
5,pair368_tile132_src058_act058_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,368,132,58,58,identity,7.920656465288523e-06,1.986686174741898e-06,5.933970290546626e-06,2,1,1,2,-1.0659906074615287e-06
6,pair166_tile086_src008_act008_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,166,86,8,8,identity,6.96626337972068e-06,5.270839139017305e-06,1.6954242407033748e-06,2,0,2,2,0.0
7,pair491_tile089_src065_act065_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,491,89,65,65,identity,4.9574516583952545e-06,7.188959072752082e-07,4.238555751120046e-06,2,0,2,2,0.0
8,pair532_tile088_src035_act035_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,532,88,35,35,identity,4.6226264334834916e-06,3.8408038364024144e-07,4.23854604984325e-06,2,1,1,2,-3.733081381555669e-07
9,pair494_tile089_src089_act089_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,494,89,89,89,identity,3.958452040190384e-06,5.676132600604172e-07,3.390838780129967e-06,2,0,2,2,0.0
10,pair543_tile088_src101_act101_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,543,88,101,101,identity,3.8002759745705416e-06,2.1048614351439765e-06,1.6954145394265654e-06,2,0,2,2,0.0
11,pair510_tile089_src107_act107_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,510,89,107,107,identity,3.3813912984570297e-06,-9.450715431865406e-09,3.390842013888895e-06,2,1,1,2,-1.8982273039431114e-07
12,pair510_tile096_src029_act029_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,510,96,29,29,identity,3.3813912984570297e-06,-9.450715431865406e-09,3.390842013888895e-06,2,1,1,2,-1.8982273039431114e-07
13,pair510_tile109_src035_act035_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,510,109,35,35,identity,3.3813912984570297e-06,-9.450715431865406e-09,3.390842013888895e-06,2,1,1,2,-1.8982273039431114e-07
14,pair132_tile086_src044_act044_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,132,86,44,44,identity,3.228288504747867e-06,2.3805812350345843e-06,8.477072697132827e-07,2,0,2,2,0.0
15,pair534_tile088_src011_act011_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,534,88,11,11,identity,3.1020616322389015e-06,-1.1364844176043211e-06,4.238546049843223e-06,2,2,0,2,-1.7484502804295917e-06
16,pair427_tile088_src046_act046_identity,component_positive_pose_risky,False,changes_c102_action_stream_if_built,427,88,46,46,identity,3.034153445551161e-06,-1.2043926042920615e-06,4.238546049843223e-06,1,1,1,2,-9.612397433142835e-06
17,pair523_tile087_src055_act055_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,523,87,55,55,identity,2.5327204426361926e-06,1.6850083222844985e-06,8.477121203516943e-07,2,0,2,2,0.0
18,pair523_tile131_src088_act088_identity,component_positive_pose_safe,False,changes_c102_action_stream_if_built,523,131,88,88,identity,2.5327204426361926e-06,1.6850083222844985e-06,8.477121203516943e-07,2,0,2,2,0.0
