row_type,atom_id,name,stream,bytes,byte_delta,sha256,rate_score_cost,rate_score_delta,known_posenet_delta,known_segnet_delta,known_score_delta,benefit_score_estimate,benefit_per_byte_estimate,break_even_bytes_at_rate_only,byte_savings_estimate,codec,candidate_index,candidate_archive_path,candidate_archive_sha256,source_path,source_sha256,source_json_pointer
action_record,10,10,,,,,,,-9.77742302078184e-07,4.238550900481641e-06,,3.260808598403464e-06,,4,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,101,101,,,,,,,4.795042657506634e-07,2.5431315104166576e-06,,3.022635776167321e-06,,4,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,102,102,,,,,,,8.518902860990291e-06,0.0,,8.518902860990291e-06,,12,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,104,104,,,,,,,-1.939271717468786e-06,5.086263020833329e-06,,3.1469913033645494e-06,,4,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,104,104,,,,,,,-5.508159294292453e-07,3.3908387801299538e-06,,2.8400228507007084e-06,,4,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,106,106,,,,,,,-2.4250956585859156e-06,6.7816824108983125e-06,,4.356586752312383e-06,,6,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,11,11,,,,,,,4.6713986324884585e-06,5.086263020833336e-06,,9.757661653321808e-06,,14,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,15,15,,,,,,,6.648321278720392e-07,2.5431315104166576e-06,,3.207963638288656e-06,,4,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,17,17,,,,,,,4.252309504832488e-07,4.23856545239687e-06,,4.663796402880078e-06,,7,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,18,18,,,,,,,1.1268075893148009e-07,3.3908387801299402e-06,,3.503519539061427e-06,,5,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,2,2,,,,,,,1.2309197811587823e-06,5.93397514118503e-06,,7.164894922343819e-06,,10,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,20,20,,,,,,,9.584887440445845e-07,4.23855575112006e-06,,5.197044495164631e-06,,7,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,21,21,,,,,,,-5.4347486671784523e-08,3.3908484814067636e-06,,3.3365009947350062e-06,,5,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,23,23,,,,,,,2.221041172932005e-06,2.543131510416671e-06,,4.7641726833486694e-06,,7,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,29,29,,,,,,,1.5960978092093296e-06,4.23856545239687e-06,,5.834663261606199e-06,,8,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,33,33,,,,,,,-9.376504337489156e-07,6.7816775602599075e-06,,5.844027126511019e-06,,8,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,38,38,,,,,,,-1.5262734413856624e-07,3.3908387801299402e-06,,3.2382114359913808e-06,,4,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,44,44,,,,,,,-9.098032663508969e-07,7.62939453125e-06,,6.719591264899103e-06,,10,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,44,44,,,,,,,-2.734767471950078e-07,6.781696962813554e-06,,6.50822021561854e-06,,9,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,46,46,,,,,,,-3.6474318532714735e-07,3.3908387801299402e-06,,3.026095594802793e-06,,4,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,51,51,,,,,,,1.099542018354723e-06,1.4411091494063527e-05,,1.5510633512418243e-05,,23,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,6,6,,,,,,,4.5397402901812525e-06,6.7816775602599075e-06,,1.132141785044116e-05,,17,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,64,64,,,,,,,1.959164195262258e-06,4.238546049843223e-06,,6.197710245105454e-06,,9,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,67,67,,,,,,,1.657096230674648e-06,2.543131510416671e-06,,4.200227741091306e-06,,6,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,7,7,,,,,,,1.317933009088318e-06,1.6954193900649701e-06,,3.0133523991532812e-06,,4,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,7,7,,,,,,,-3.611756888611292e-07,4.238555751120046e-06,,3.877380062258931e-06,,5,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,71,71,,,,,,,3.2177318385497966e-07,3.3908387801299538e-06,,3.712611963984947e-06,,5,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
action_record,79,79,,,,,,,1.4773004609159295e-06,1.6954242407033886e-06,,3.1727247016193283e-06,,4,,,,,,/Users/adpena/Projects/pact/experiments/results/c067_pr75_tile_action_compiler_p6_trace_ev_20260503_codex/c067_pr75_actions_top40_p6/manifest.json,fc53053378d3addfebb97250986926c8c8e5677f9a506accb26c71b3e1cc804b,$.selected_records
