row_type,atom_id,name,stream,bytes,byte_delta,sha256,rate_score_cost,rate_score_delta,known_posenet_delta,known_segnet_delta,known_score_delta,benefit_score_estimate,benefit_per_byte_estimate,break_even_bytes_at_rate_only,byte_savings_estimate,codec,candidate_index,candidate_archive_path,candidate_archive_sha256,source_path,source_sha256,source_json_pointer
archive,archive,archive.zip,,275900,,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,0.183710485166,,,,,,,,,,0,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,
packed_stream,packed_stream:masks.mkv,masks.mkv,,219472,,7d18c41753b8a0782bd95558be9a9d43e2e7083cb19e7cd590ac7fa6501318eb,0.14613739616,,,,,,,,0,brotli_av1_obu,0,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,
packed_stream,packed_stream:renderer.bin,renderer.bin,,55513,,14f86c8fa537f6d4f10b49e2d16947a09f0b6cc27f0a3bdc67ed227137666033,0.036963828065,,,,,,,,0,brotli_qzs3,0,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,
packed_stream,packed_stream:optimized_poses.qp1,optimized_poses.qp1,,677,,844761cd854429c51558f34120a85a5984dd53b397df8aa5593cd02dda903bab,0.000450786511,,,,,,,,0,public_qp1_brotli,0,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,
packed_stream,packed_stream:seg_tile_actions.bin,seg_tile_actions.bin,,126,,b0f9895975d7330d60cec046263370e28e389d2c91ef18e6fecd0d28682b0145,8.3898228e-05,,,,,,,,0,brotli_seg_tile_actions_delta_varint_v1,0,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,
payload_overhead,payload_internal_overhead,payload_internal_overhead,,12,,,7.990307e-06,,,,,,,,,,0,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,
zip_member,zip_member:p,p,,275800,,,0.183643899271,,,,,,,,,,0,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,
zip_overhead,zip_overhead,zip_overhead,,100,,,6.6585895e-05,,,,,,,,,,0,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_frame1_head_0.1/archive.zip,bb8d1835303478183465e15b28fd9af8776b4ea1c07cdd6cfe0895032a267b64,
archive,archive,archive.zip,,272069,,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,0.181159579517,,,,,,,,,,1,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,
packed_stream,packed_stream:masks.mkv,masks.mkv,,219472,,0e1720d59cd2c871ae25f3e7da1ff31954ac3e2f57cb03a45ef460784332f815,0.14613739616,,,,,,,,0,brotli_av1_obu,1,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,
packed_stream,packed_stream:renderer.bin,renderer.bin,,51682,,8b680b07d37efcc1a8f004a5204077a3b9564942751ac58665a3c6598d1e2cbe,0.034412922415,,,,,,,,0,brotli_qzs3,1,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,/Users/adpena/Projects/pact/experiments/results/renderer_parity_shrink_search_20260503_worker/zero_fp4_all_fp4_0.1/archive.zip,623e764ae1feeb11aba31d3be8c825ecf4e74948c8a5f5bb756ac92e8f91905a,
