index,pair,tile,action
0,104,83,17
1,106,83,64
2,89,84,7
3,540,84,58
4,112,85,75
5,566,85,56
6,73,86,40
7,109,86,92
8,115,86,94
9,119,86,44
10,124,86,6
11,126,86,38
12,132,86,46
13,136,86,88
14,141,86,9
15,142,86,38
16,145,86,87
17,152,86,7
18,154,86,90
19,156,86,21
20,158,86,90
21,159,86,106
22,163,86,20
23,166,86,6
24,167,86,2
25,168,86,89
26,170,86,92
27,174,86,95
28,177,86,15
29,180,86,43
30,182,86,19
31,577,86,22
32,585,86,47
33,597,86,92
34,598,86,32
35,191,87,91
36,459,87,67
37,497,87,42
38,523,87,33
39,553,87,47
40,565,87,14
41,569,87,18
42,587,87,94
43,54,88,75
44,55,88,23
45,67,88,102
46,102,88,47
47,137,88,90
48,138,88,56
49,226,88,2
50,268,88,38
51,358,88,81
52,360,88,93
53,395,88,90
54,398,88,80
55,413,88,91
56,416,88,77
57,435,88,22
58,460,88,47
59,464,88,93
60,470,88,68
61,473,88,103
62,482,88,66
63,515,88,91
64,520,88,26
65,531,88,18
66,535,88,104
67,536,88,54
68,544,88,41
69,546,88,40
70,551,88,86
71,581,88,83
72,592,88,15
73,343,89,22
74,439,89,107
75,444,89,21
76,479,89,14
77,480,89,18
78,488,89,43
79,490,89,71
80,502,89,102
81,516,89,64
82,519,89,44
83,519,89,94
84,197,90,93
85,449,92,82
86,178,95,101
87,133,98,17
88,347,98,11
89,105,99,94
90,542,99,16
91,597,99,10
92,451,100,9
93,198,107,33
94,46,108,86
95,450,108,91
96,33,109,92
97,36,109,93
98,227,109,23
99,71,110,56
100,211,110,10
101,218,110,95
102,212,111,71
103,234,111,57
104,151,112,104
105,196,113,15
106,517,113,51
107,522,140,29
