atom_id,atom_type,pair_index,frame_indices,tile_id,action_id,pose_atom_id,byte_cost_proxy,component_benefit_proxy,pose_benefit_proxy,seg_benefit_proxy,confidence,no_op,no_op_status
action_pair138_tile086_act026_pr79_to_c102_context,action,138,"[276, 277]",86,26,,-1.599647266313933,5.2127407822615045e-06,3.5173262428349393e-06,1.6954145394265652e-06,0.55,False,pr79_only_action_record
action_pair010_tile084_act041_pr79_to_c102_context,action,10,"[20, 21]",84,41,,-1.599647266313933,2.9803569935586314e-06,2.9803569935586314e-06,0.0,0.55,False,pr79_only_action_record
action_pair247_tile088_act051_pr79_to_c102_context,action,247,"[494, 495]",88,51,,-1.599647266313933,2.790679906765673e-06,6.1815235375340316e-06,0.0,0.55,False,pr79_only_action_record
action_pair076_tile128_act034_pr79_to_c102_context,action,76,"[152, 153]",128,34,,-1.599647266313933,2.2311238636343823e-06,3.0788408346244883e-06,0.0,0.55,False,pr79_only_action_record
action_pair219_tile111_act014_pr79_to_c102_context,action,219,"[438, 439]",111,14,,-1.599647266313933,2.0225724953921337e-06,3.271482546887451e-07,1.6954242407033886e-06,0.55,False,pr79_only_action_record
action_pair227_tile088_act022_pr79_to_c102_context,action,227,"[454, 455]",88,22,,-1.599647266313933,1.8199191516490295e-06,2.667636122639122e-06,0.0,0.55,False,pr79_only_action_record
action_pair055_tile095_act091_pr79_to_c102_context,action,55,"[110, 111]",95,91,,-1.599647266313933,1.6280690518207243e-06,2.051925111996575e-06,0.0,0.55,False,pr79_only_action_record
action_pair055_tile109_act004_pr79_to_c102_context,action,55,"[110, 111]",109,4,,-1.599647266313933,1.6280690518207243e-06,2.051925111996575e-06,0.0,0.55,False,pr79_only_action_record
action_pair191_tile108_act037_pr79_to_c102_context,action,191,"[382, 383]",108,37,,-1.599647266313933,1.5178415328409898e-06,6.701294124893023e-07,8.477121203516875e-07,0.55,False,pr79_only_action_record
action_pair193_tile085_act044_pr79_to_c102_context,action,193,"[386, 387]",85,44,,-1.599647266313933,1.0534008070866896e-06,2.748825047790078e-06,0.0,0.55,False,pr79_only_action_record
action_pair150_tile086_act039_pr79_to_c102_context,action,150,"[300, 301]",86,39,,-1.599647266313933,6.998243290851633e-07,1.547531598798446e-06,0.0,0.55,False,pr79_only_action_record
action_pair198_tile084_act007_pr79_to_c102_context,action,198,"[396, 397]",84,7,,-1.599647266313933,4.937396980450984e-07,3.2488004512092893e-06,0.0,0.55,False,pr79_only_action_record
action_pair198_tile087_act008_pr79_to_c102_context,action,198,"[396, 397]",87,8,,-1.599647266313933,4.937396980450984e-07,3.2488004512092893e-06,0.0,0.55,False,pr79_only_action_record
action_pair198_tile102_act102_pr79_to_c102_context,action,198,"[396, 397]",102,102,,-1.599647266313933,4.937396980450984e-07,3.2488004512092893e-06,0.0,0.55,False,pr79_only_action_record
action_pair198_tile111_act095_pr79_to_c102_context,action,198,"[396, 397]",111,95,,-1.599647266313933,4.937396980450984e-07,3.2488004512092893e-06,0.0,0.55,False,pr79_only_action_record
action_pair197_tile098_act088_pr79_to_c102_context,action,197,"[394, 395]",98,88,,-1.599647266313933,4.4739759652465084e-07,1.2951048662379334e-06,0.0,0.55,False,pr79_only_action_record
action_pair050_tile087_act047_pr79_to_c102_context,action,50,"[100, 101]",87,47,,-1.599647266313933,2.2731137911172387e-07,3.053011979432818e-06,0.0,0.55,False,pr79_only_action_record
action_pair050_tile089_act094_pr79_to_c102_context,action,50,"[100, 101]",89,94,,-1.599647266313933,2.2731137911172387e-07,3.053011979432818e-06,0.0,0.55,False,pr79_only_action_record
action_pair050_tile090_act106_pr79_to_c102_context,action,50,"[100, 101]",90,106,,-1.599647266313933,2.2731137911172387e-07,3.053011979432818e-06,0.0,0.55,False,pr79_only_action_record
action_pair221_tile111_act047_pr79_to_c102_context,action,221,"[442, 443]",111,47,,-1.599647266313933,1.0630043262982577e-07,9.540125529815268e-07,0.0,0.55,False,pr79_only_action_record
action_pair073_tile099_act086_pr79_to_c102_context,action,73,"[146, 147]",99,86,,-1.599647266313933,2.3039683180972495e-08,8.707501866531963e-07,0.0,0.55,False,pr79_only_action_record
action_pair073_tile107_act007_pr79_to_c102_context,action,73,"[146, 147]",107,7,,-1.599647266313933,2.3039683180972495e-08,8.707501866531963e-07,0.0,0.55,False,pr79_only_action_record
action_pair073_tile109_act027_pr79_to_c102_context,action,73,"[146, 147]",109,27,,-1.599647266313933,2.3039683180972495e-08,8.707501866531963e-07,0.0,0.55,False,pr79_only_action_record
