atom_id,atom_type,pair_index,frame_indices,tile_id,action_id,pose_atom_id,byte_cost_proxy,component_benefit_proxy,pose_benefit_proxy,seg_benefit_proxy,confidence,no_op,no_op_status
interaction_pair198_tile084_act007_poseq0,pose_action_interaction,198,"[396, 397]",84,7,pose_qp1_row198_pr79q0_5307_to_c102q0_5306,-1.5998100267305997,1.3488941502882256e-05,1.2995201804837157e-05,0.0,0.55,False,pr79_only_action_and_qp1_row_differs
interaction_pair198_tile087_act008_poseq0,pose_action_interaction,198,"[396, 397]",87,8,pose_qp1_row198_pr79q0_5307_to_c102q0_5306,-1.5998100267305997,1.3488941502882256e-05,1.2995201804837157e-05,0.0,0.55,False,pr79_only_action_and_qp1_row_differs
interaction_pair198_tile102_act102_poseq0,pose_action_interaction,198,"[396, 397]",102,102,pose_qp1_row198_pr79q0_5307_to_c102q0_5306,-1.5998100267305997,1.3488941502882256e-05,1.2995201804837157e-05,0.0,0.55,False,pr79_only_action_and_qp1_row_differs
interaction_pair198_tile111_act095_poseq0,pose_action_interaction,198,"[396, 397]",111,95,pose_qp1_row198_pr79q0_5307_to_c102q0_5306,-1.5998100267305997,1.3488941502882256e-05,1.2995201804837157e-05,0.0,0.55,False,pr79_only_action_and_qp1_row_differs
interaction_pair138_tile086_act026_poseq0,pose_action_interaction,138,"[276, 277]",86,26,pose_qp1_row138_pr79q0_5140_to_c102q0_5139,-1.5998100267305997,8.730067025096444e-06,3.5173262428349393e-06,1.6954145394265652e-06,0.55,False,pr79_only_action_and_qp1_row_differs
interaction_pair070_tile104_act058_poseq0,pose_action_interaction,70,"[140, 141]",104,58,pose_qp1_row070_pr79q0_5660_to_c102q0_5659,-1.5998100267305997,7.3487821671338075e-06,7.3487821671338075e-06,0.0,0.35,False,pr79_only_action_and_qp1_row_differs
interaction_pair070_tile110_act007_poseq0,pose_action_interaction,70,"[140, 141]",110,7,pose_qp1_row070_pr79q0_5660_to_c102q0_5659,-1.5998100267305997,7.3487821671338075e-06,7.3487821671338075e-06,0.0,0.35,False,pr79_only_action_and_qp1_row_differs
interaction_pair070_tile128_act044_poseq0,pose_action_interaction,70,"[140, 141]",128,44,pose_qp1_row070_pr79q0_5660_to_c102q0_5659,-1.5998100267305997,7.3487821671338075e-06,7.3487821671338075e-06,0.0,0.35,False,pr79_only_action_and_qp1_row_differs
interaction_pair252_tile088_act095_poseq0,pose_action_interaction,252,"[504, 505]",88,95,pose_qp1_row252_pr79q0_5116_to_c102q0_5115,-1.5998100267305997,5.318237792113019e-06,5.318237792113019e-06,0.0,0.35,False,pr79_only_action_and_qp1_row_differs
interaction_pair252_tile107_act021_poseq0,pose_action_interaction,252,"[504, 505]",107,21,pose_qp1_row252_pr79q0_5116_to_c102q0_5115,-1.5998100267305997,5.318237792113019e-06,5.318237792113019e-06,0.0,0.35,False,pr79_only_action_and_qp1_row_differs
