atom_id,atom_type,pair_index,frame_indices,tile_id,action_id,pose_atom_id,byte_cost_proxy,component_benefit_proxy,pose_benefit_proxy,seg_benefit_proxy,confidence,no_op,no_op_status
pair138_frames_276-277,pair_frame,138,"[276, 277]",,,pose_qp1_row138,0.0,5.2127407822615045e-06,3.5173262428349393e-06,1.6954145394265652e-06,0.85,False,pair_has_pr79_action_or_pose_delta
pair550_frames_1100-1101,pair_frame,550,"[1100, 1101]",,,pose_qp1_row550,0.0,4.181803701254927e-06,4.181803701254927e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair055_frames_110-111,pair_frame,55,"[110, 111]",,,,0.0,3.2561381036414486e-06,4.10385022399315e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair010_frames_20-21,pair_frame,10,"[20, 21]",,,,0.0,2.9803569935586314e-06,2.9803569935586314e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair566_frames_1132-1133,pair_frame,566,"[1132, 1133]",,,pose_qp1_row566,0.0,2.8427989147990767e-06,2.9966740438239195e-07,2.5431315104166847e-06,0.85,False,pair_has_pr79_action_or_pose_delta
pair247_frames_494-495,pair_frame,247,"[494, 495]",,,,0.0,2.790679906765673e-06,6.1815235375340316e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair076_frames_152-153,pair_frame,76,"[152, 153]",,,,0.0,2.2311238636343823e-06,3.0788408346244883e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair219_frames_438-439,pair_frame,219,"[438, 439]",,,,0.0,2.0225724953921337e-06,3.271482546887451e-07,1.6954242407033886e-06,0.85,False,pair_has_pr79_action_or_pose_delta
pair198_frames_396-397,pair_frame,198,"[396, 397]",,,pose_qp1_row198,0.0,1.9749587921803936e-06,1.2995201804837157e-05,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair227_frames_454-455,pair_frame,227,"[454, 455]",,,,0.0,1.8199191516490295e-06,2.667636122639122e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair191_frames_382-383,pair_frame,191,"[382, 383]",,,pose_qp1_row191,0.0,1.5178415328409898e-06,6.701294124893023e-07,8.477121203516875e-07,0.85,False,pair_has_pr79_action_or_pose_delta
pair184_frames_368-369,pair_frame,184,"[368, 369]",,,pose_qp1_row184,0.0,1.388504240273648e-06,1.388504240273648e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair514_frames_1028-1029,pair_frame,514,"[1028, 1029]",,,pose_qp1_row514,0.0,1.3284262537670359e-06,1.3284262537670359e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair307_frames_614-615,pair_frame,307,"[614, 615]",,,pose_qp1_row307,0.0,1.2435382427214447e-06,1.2435382427214447e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair149_frames_298-299,pair_frame,149,"[298, 299]",,,pose_qp1_row149,0.0,1.1428905048257868e-06,1.1428905048257868e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair538_frames_1076-1077,pair_frame,538,"[1076, 1077]",,,pose_qp1_row538,0.0,1.141164016754017e-06,1.141164016754017e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair305_frames_610-611,pair_frame,305,"[610, 611]",,,pose_qp1_row305,0.0,1.125562007169359e-06,1.125562007169359e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair541_frames_1082-1083,pair_frame,541,"[1082, 1083]",,,pose_qp1_row541,0.0,1.0622146308097318e-06,1.0622146308097318e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair193_frames_386-387,pair_frame,193,"[386, 387]",,,pose_qp1_row193,0.0,1.0534008070866896e-06,2.748825047790078e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair546_frames_1092-1093,pair_frame,546,"[1092, 1093]",,,pose_qp1_row546,0.0,1.0172022966003228e-06,1.0172022966003228e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair570_frames_1140-1141,pair_frame,570,"[1140, 1141]",,,pose_qp1_row570,0.0,8.821512157904143e-07,8.821512157904143e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair549_frames_1098-1099,pair_frame,549,"[1098, 1099]",,,pose_qp1_row549,0.0,8.547181179410502e-07,8.547181179410502e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair290_frames_580-581,pair_frame,290,"[580, 581]",,,pose_qp1_row290,0.0,8.448967409551539e-07,8.448967409551539e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair441_frames_882-883,pair_frame,441,"[882, 883]",,,pose_qp1_row441,0.0,7.836154392242098e-07,7.836154392242098e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair171_frames_342-343,pair_frame,171,"[342, 343]",,,pose_qp1_row171,0.0,7.689365870774012e-07,7.689365870774012e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair194_frames_388-389,pair_frame,194,"[388, 389]",,,pose_qp1_row194,0.0,7.346406583157421e-07,7.346406583157421e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair150_frames_300-301,pair_frame,150,"[300, 301]",,,pose_qp1_row150,0.0,6.998243290851633e-07,1.547531598798446e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair050_frames_100-101,pair_frame,50,"[100, 101]",,,,0.0,6.819341373351716e-07,9.159035938298454e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair164_frames_328-329,pair_frame,164,"[328, 329]",,,pose_qp1_row164,0.0,5.679252903520253e-07,5.679252903520253e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair544_frames_1088-1089,pair_frame,544,"[1088, 1089]",,,pose_qp1_row544,0.0,5.566303432672062e-07,5.566303432672062e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair310_frames_620-621,pair_frame,310,"[620, 621]",,,pose_qp1_row310,0.0,5.56161927998055e-07,5.56161927998055e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair498_frames_996-997,pair_frame,498,"[996, 997]",,,pose_qp1_row498,0.0,5.530864411434612e-07,5.530864411434612e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair408_frames_816-817,pair_frame,408,"[816, 817]",,,pose_qp1_row408,0.0,5.389634348265606e-07,5.389634348265606e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair526_frames_1052-1053,pair_frame,526,"[1052, 1053]",,,pose_qp1_row526,0.0,5.330108336030879e-07,5.330108336030879e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair309_frames_618-619,pair_frame,309,"[618, 619]",,,pose_qp1_row309,0.0,5.004225585466778e-07,5.004225585466778e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair304_frames_608-609,pair_frame,304,"[608, 609]",,,pose_qp1_row304,0.0,4.962110637157568e-07,4.962110637157568e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair142_frames_284-285,pair_frame,142,"[284, 285]",,,pose_qp1_row142,0.0,4.821143192234667e-07,4.821143192234667e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair488_frames_976-977,pair_frame,488,"[976, 977]",,,pose_qp1_row488,0.0,4.814540062066911e-07,4.814540062066911e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair547_frames_1094-1095,pair_frame,547,"[1094, 1095]",,,pose_qp1_row547,0.0,4.7559592726123035e-07,4.7559592726123035e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair160_frames_320-321,pair_frame,160,"[320, 321]",,,pose_qp1_row160,0.0,4.62086320852928e-07,4.62086320852928e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair493_frames_986-987,pair_frame,493,"[986, 987]",,,pose_qp1_row493,0.0,4.5145635168678574e-07,4.5145635168678574e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair197_frames_394-395,pair_frame,197,"[394, 395]",,,pose_qp1_row197,0.0,4.4739759652465084e-07,1.2951048662379334e-06,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair129_frames_258-259,pair_frame,129,"[258, 259]",,,pose_qp1_row129,0.0,4.0085213937919714e-07,4.0085213937919714e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair512_frames_1024-1025,pair_frame,512,"[1024, 1025]",,,pose_qp1_row512,0.0,3.7822256904554587e-07,3.7822256904554587e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair545_frames_1090-1091,pair_frame,545,"[1090, 1091]",,,pose_qp1_row545,0.0,3.746721362223916e-07,3.746721362223916e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair490_frames_980-981,pair_frame,490,"[980, 981]",,,pose_qp1_row490,0.0,3.6979219009363026e-07,3.6979219009363026e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair423_frames_846-847,pair_frame,423,"[846, 847]",,,pose_qp1_row423,0.0,3.6468242338425264e-07,3.6468242338425264e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair131_frames_262-263,pair_frame,131,"[262, 263]",,,pose_qp1_row131,0.0,3.3152211836235995e-07,3.3152211836235995e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair284_frames_568-569,pair_frame,284,"[568, 569]",,,pose_qp1_row284,0.0,3.290904928853779e-07,3.290904928853779e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair518_frames_1036-1037,pair_frame,518,"[1036, 1037]",,,pose_qp1_row518,0.0,3.1208075740864715e-07,3.1208075740864715e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair159_frames_318-319,pair_frame,159,"[318, 319]",,,pose_qp1_row159,0.0,2.711546687029869e-07,2.711546687029869e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair170_frames_340-341,pair_frame,170,"[340, 341]",,,pose_qp1_row170,0.0,2.631790670009265e-07,2.631790670009265e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair516_frames_1032-1033,pair_frame,516,"[1032, 1033]",,,pose_qp1_row516,0.0,2.4795211237133155e-07,2.4795211237133155e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair534_frames_1068-1069,pair_frame,534,"[1068, 1069]",,,pose_qp1_row534,0.0,2.3578767674871625e-07,2.3578767674871625e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair430_frames_860-861,pair_frame,430,"[860, 861]",,,pose_qp1_row430,0.0,2.126808992566594e-07,2.126808992566594e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair192_frames_384-385,pair_frame,192,"[384, 385]",,,pose_qp1_row192,0.0,2.1072536328779908e-07,2.1072536328779908e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair540_frames_1080-1081,pair_frame,540,"[1080, 1081]",,,pose_qp1_row540,0.0,2.0871736394462956e-07,2.0871736394462956e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair128_frames_256-257,pair_frame,128,"[256, 257]",,,pose_qp1_row128,0.0,1.6141798037046283e-07,1.6141798037046283e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair494_frames_988-989,pair_frame,494,"[988, 989]",,,pose_qp1_row494,0.0,1.5324815826954459e-07,1.5324815826954459e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair434_frames_868-869,pair_frame,434,"[868, 869]",,,pose_qp1_row434,0.0,1.5197925085913143e-07,1.5197925085913143e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair289_frames_578-579,pair_frame,289,"[578, 579]",,,pose_qp1_row289,0.0,1.3139463799250752e-07,1.3139463799250752e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair126_frames_252-253,pair_frame,126,"[252, 253]",,,pose_qp1_row126,0.0,1.260292975854675e-07,1.260292975854675e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
pair425_frames_850-851,pair_frame,425,"[850, 851]",,,pose_qp1_row425,0.0,1.2438118478801292e-07,1.2438118478801292e-07,0.0,0.85,False,pair_has_pr79_action_or_pose_delta
