atom_id,atom_type,pair_index,frame_indices,tile_id,action_id,pose_atom_id,byte_cost_proxy,component_benefit_proxy,pose_benefit_proxy,seg_benefit_proxy,confidence,no_op,no_op_status
pose_qp1_row198_pr79q0_5307_to_c102q0_5306,pose,198,"[396, 397]",,,pose_qp1_row198_pr79q0_5307_to_c102q0_5306,-0.00016276041666666666,1.2995201804837157e-05,1.2995201804837157e-05,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row070_pr79q0_5660_to_c102q0_5659,pose,70,"[140, 141]",,,pose_qp1_row070_pr79q0_5660_to_c102q0_5659,-0.00016276041666666666,7.3487821671338075e-06,7.3487821671338075e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row252_pr79q0_5116_to_c102q0_5115,pose,252,"[504, 505]",,,pose_qp1_row252_pr79q0_5116_to_c102q0_5115,-0.00016276041666666666,5.318237792113019e-06,5.318237792113019e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row153_pr79q0_4447_to_c102q0_4448,pose,153,"[306, 307]",,,pose_qp1_row153_pr79q0_4447_to_c102q0_4448,-0.00016276041666666666,5.127843923336439e-06,5.127843923336439e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row550_pr79q0_5813_to_c102q0_5811,pose,550,"[1100, 1101]",,,pose_qp1_row550_pr79q0_5813_to_c102q0_5811,-0.00016276041666666666,4.181803701254927e-06,4.181803701254927e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row133_pr79q0_5485_to_c102q0_5484,pose,133,"[266, 267]",,,pose_qp1_row133_pr79q0_5485_to_c102q0_5484,-0.00016276041666666666,3.521618194512964e-06,3.521618194512964e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row138_pr79q0_5140_to_c102q0_5139,pose,138,"[276, 277]",,,pose_qp1_row138_pr79q0_5140_to_c102q0_5139,-0.00016276041666666666,3.5173262428349393e-06,3.5173262428349393e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row222_pr79q0_5666_to_c102q0_5665,pose,222,"[444, 445]",,,pose_qp1_row222_pr79q0_5666_to_c102q0_5665,-0.00016276041666666666,3.3938994255013213e-06,3.3938994255013213e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row072_pr79q0_6724_to_c102q0_6722,pose,72,"[144, 145]",,,pose_qp1_row072_pr79q0_6724_to_c102q0_6722,-0.00016276041666666666,3.299105121764995e-06,3.299105121764995e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row193_pr79q0_4705_to_c102q0_4704,pose,193,"[386, 387]",,,pose_qp1_row193_pr79q0_4705_to_c102q0_4704,-0.00016276041666666666,2.748825047790078e-06,2.748825047790078e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row073_pr79q0_6717_to_c102q0_6715,pose,73,"[146, 147]",,,pose_qp1_row073_pr79q0_6717_to_c102q0_6715,-0.00016276041666666666,2.6122505599595887e-06,2.6122505599595887e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row085_pr79q0_6536_to_c102q0_6535,pose,85,"[170, 171]",,,pose_qp1_row085_pr79q0_6536_to_c102q0_6535,-0.00016276041666666666,2.508115597696519e-06,2.508115597696519e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row066_pr79q0_5575_to_c102q0_5574,pose,66,"[132, 133]",,,pose_qp1_row066_pr79q0_5575_to_c102q0_5574,-0.00016276041666666666,2.3817976296576656e-06,2.3817976296576656e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row060_pr79q0_7110_to_c102q0_7108,pose,60,"[120, 121]",,,pose_qp1_row060_pr79q0_7110_to_c102q0_7108,-0.00016276041666666666,1.8445338133388873e-06,1.8445338133388873e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row150_pr79q0_5452_to_c102q0_5451,pose,150,"[300, 301]",,,pose_qp1_row150_pr79q0_5452_to_c102q0_5451,-0.00016276041666666666,1.547531598798446e-06,1.547531598798446e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row184_pr79q0_4928_to_c102q0_4927,pose,184,"[368, 369]",,,pose_qp1_row184_pr79q0_4928_to_c102q0_4927,-0.00016276041666666666,1.388504240273648e-06,1.388504240273648e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row514_pr79q0_1669_to_c102q0_1668,pose,514,"[1028, 1029]",,,pose_qp1_row514_pr79q0_1669_to_c102q0_1668,-0.00016276041666666666,1.3284262537670359e-06,1.3284262537670359e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row141_pr79q0_5548_to_c102q0_5547,pose,141,"[282, 283]",,,pose_qp1_row141_pr79q0_5548_to_c102q0_5547,-0.00016276041666666666,1.3054051290263297e-06,1.3054051290263297e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row197_pr79q0_4528_to_c102q0_4527,pose,197,"[394, 395]",,,pose_qp1_row197_pr79q0_4528_to_c102q0_4527,-0.00016276041666666666,1.2951048662379334e-06,1.2951048662379334e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row307_pr79q0_6275_to_c102q0_6273,pose,307,"[614, 615]",,,pose_qp1_row307_pr79q0_6275_to_c102q0_6273,-0.00016276041666666666,1.2435382427214447e-06,1.2435382427214447e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row368_pr79q0_5468_to_c102q0_5467,pose,368,"[736, 737]",,,pose_qp1_row368_pr79q0_5468_to_c102q0_5467,-0.00016276041666666666,1.239932119797844e-06,1.239932119797844e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row149_pr79q0_4893_to_c102q0_4892,pose,149,"[298, 299]",,,pose_qp1_row149_pr79q0_4893_to_c102q0_4892,-0.00016276041666666666,1.1428905048257868e-06,1.1428905048257868e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row538_pr79q0_5481_to_c102q0_5480,pose,538,"[1076, 1077]",,,pose_qp1_row538_pr79q0_5481_to_c102q0_5480,-0.00016276041666666666,1.141164016754017e-06,1.141164016754017e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row305_pr79q0_6725_to_c102q0_6724,pose,305,"[610, 611]",,,pose_qp1_row305_pr79q0_6725_to_c102q0_6724,-0.00016276041666666666,1.125562007169359e-06,1.125562007169359e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row105_pr79q0_6208_to_c102q0_6207,pose,105,"[210, 211]",,,pose_qp1_row105_pr79q0_6208_to_c102q0_6207,-0.00016276041666666666,1.0737119534218707e-06,1.0737119534218707e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row541_pr79q0_6106_to_c102q0_6105,pose,541,"[1082, 1083]",,,pose_qp1_row541_pr79q0_6106_to_c102q0_6105,-0.00016276041666666666,1.0622146308097318e-06,1.0622146308097318e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row190_pr79q0_5263_to_c102q0_5262,pose,190,"[380, 381]",,,pose_qp1_row190_pr79q0_5263_to_c102q0_5262,-0.00016276041666666666,1.0482095049229933e-06,1.0482095049229933e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row059_pr79q0_6162_to_c102q0_6160,pose,59,"[118, 119]",,,pose_qp1_row059_pr79q0_6162_to_c102q0_6160,-0.00016276041666666666,1.027374221553121e-06,1.027374221553121e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row546_pr79q0_5214_to_c102q0_5213,pose,546,"[1092, 1093]",,,pose_qp1_row546_pr79q0_5214_to_c102q0_5213,-0.00016276041666666666,1.0172022966003228e-06,1.0172022966003228e-06,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row221_pr79q0_4826_to_c102q0_4825,pose,221,"[442, 443]",,,pose_qp1_row221_pr79q0_4826_to_c102q0_4825,-0.00016276041666666666,9.540125529815268e-07,9.540125529815268e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row086_pr79q0_6324_to_c102q0_6323,pose,86,"[172, 173]",,,pose_qp1_row086_pr79q0_6324_to_c102q0_6323,-0.00016276041666666666,9.144748634463875e-07,9.144748634463875e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row570_pr79q0_5569_to_c102q0_5568,pose,570,"[1140, 1141]",,,pose_qp1_row570_pr79q0_5569_to_c102q0_5568,-0.00016276041666666666,8.821512157904143e-07,8.821512157904143e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row549_pr79q0_5370_to_c102q0_5369,pose,549,"[1098, 1099]",,,pose_qp1_row549_pr79q0_5370_to_c102q0_5369,-0.00016276041666666666,8.547181179410502e-07,8.547181179410502e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row290_pr79q0_5227_to_c102q0_5226,pose,290,"[580, 581]",,,pose_qp1_row290_pr79q0_5227_to_c102q0_5226,-0.00016276041666666666,8.448967409551539e-07,8.448967409551539e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row441_pr79q0_5319_to_c102q0_5318,pose,441,"[882, 883]",,,pose_qp1_row441_pr79q0_5319_to_c102q0_5318,-0.00016276041666666666,7.836154392242098e-07,7.836154392242098e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row171_pr79q0_5338_to_c102q0_5339,pose,171,"[342, 343]",,,pose_qp1_row171_pr79q0_5338_to_c102q0_5339,-0.00016276041666666666,7.689365870774012e-07,7.689365870774012e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row113_pr79q0_6537_to_c102q0_6536,pose,113,"[226, 227]",,,pose_qp1_row113_pr79q0_6537_to_c102q0_6536,-0.00016276041666666666,7.625924047269483e-07,7.625924047269483e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row112_pr79q0_6153_to_c102q0_6152,pose,112,"[224, 225]",,,pose_qp1_row112_pr79q0_6153_to_c102q0_6152,-0.00016276041666666666,7.430169121682426e-07,7.430169121682426e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row194_pr79q0_5521_to_c102q0_5520,pose,194,"[388, 389]",,,pose_qp1_row194_pr79q0_5521_to_c102q0_5520,-0.00016276041666666666,7.346406583157421e-07,7.346406583157421e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row191_pr79q0_5659_to_c102q0_5658,pose,191,"[382, 383]",,,pose_qp1_row191_pr79q0_5659_to_c102q0_5658,-0.00016276041666666666,6.701294124893023e-07,6.701294124893023e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row104_pr79q0_6378_to_c102q0_6376,pose,104,"[208, 209]",,,pose_qp1_row104_pr79q0_6378_to_c102q0_6376,-0.00016276041666666666,6.632594841545311e-07,6.632594841545311e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row164_pr79q0_5391_to_c102q0_5390,pose,164,"[328, 329]",,,pose_qp1_row164_pr79q0_5391_to_c102q0_5390,-0.00016276041666666666,5.679252903520253e-07,5.679252903520253e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row544_pr79q0_5446_to_c102q0_5445,pose,544,"[1088, 1089]",,,pose_qp1_row544_pr79q0_5446_to_c102q0_5445,-0.00016276041666666666,5.566303432672062e-07,5.566303432672062e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row310_pr79q0_6425_to_c102q0_6424,pose,310,"[620, 621]",,,pose_qp1_row310_pr79q0_6425_to_c102q0_6424,-0.00016276041666666666,5.56161927998055e-07,5.56161927998055e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row498_pr79q0_5773_to_c102q0_5772,pose,498,"[996, 997]",,,pose_qp1_row498_pr79q0_5773_to_c102q0_5772,-0.00016276041666666666,5.530864411434612e-07,5.530864411434612e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row408_pr79q0_5837_to_c102q0_5835,pose,408,"[816, 817]",,,pose_qp1_row408_pr79q0_5837_to_c102q0_5835,-0.00016276041666666666,5.389634348265606e-07,5.389634348265606e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row099_pr79q0_6816_to_c102q0_6815,pose,99,"[198, 199]",,,pose_qp1_row099_pr79q0_6816_to_c102q0_6815,-0.00016276041666666666,5.389336101065557e-07,5.389336101065557e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row526_pr79q0_4479_to_c102q0_4478,pose,526,"[1052, 1053]",,,pose_qp1_row526_pr79q0_4479_to_c102q0_4478,-0.00016276041666666666,5.330108336030879e-07,5.330108336030879e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row309_pr79q0_6373_to_c102q0_6372,pose,309,"[618, 619]",,,pose_qp1_row309_pr79q0_6373_to_c102q0_6372,-0.00016276041666666666,5.004225585466778e-07,5.004225585466778e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row304_pr79q0_6190_to_c102q0_6188,pose,304,"[608, 609]",,,pose_qp1_row304_pr79q0_6190_to_c102q0_6188,-0.00016276041666666666,4.962110637157568e-07,4.962110637157568e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row142_pr79q0_4890_to_c102q0_4889,pose,142,"[284, 285]",,,pose_qp1_row142_pr79q0_4890_to_c102q0_4889,-0.00016276041666666666,4.821143192234667e-07,4.821143192234667e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row488_pr79q0_5629_to_c102q0_5628,pose,488,"[976, 977]",,,pose_qp1_row488_pr79q0_5629_to_c102q0_5628,-0.00016276041666666666,4.814540062066911e-07,4.814540062066911e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row547_pr79q0_5376_to_c102q0_5375,pose,547,"[1094, 1095]",,,pose_qp1_row547_pr79q0_5376_to_c102q0_5375,-0.00016276041666666666,4.7559592726123035e-07,4.7559592726123035e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
pose_qp1_row166_pr79q0_5336_to_c102q0_5335,pose,166,"[332, 333]",,,pose_qp1_row166_pr79q0_5336_to_c102q0_5335,-0.00016276041666666666,4.662470758704158e-07,4.662470758704158e-07,0.0,0.7,False,qp1_q0_row_differs_pr79_vs_c102
